timestamp_s;timestamp_origin;sd_block_id;cyc_condition;cyc_charged;age_type;age_temp;age_soc;age_chg_rate;age_dischg_rate;age_profile;v_max_target_V;v_min_target_V;i_chg_max_A;i_dischg_min_A;i_chg_cutoff_A;i_dischg_cutoff_A;cap_aged_est_Ah;soh_cap;delta_q_Ah;delta_q_chg_Ah;delta_q_dischg_Ah;delta_e_Wh;delta_e_chg_Wh;delta_e_dischg_Wh;coulomb_efficiency;energy_efficiency;ocv_est_start_V;ocv_est_end_V;soc_est_start;soc_est_end;t_start_degC;t_end_degC;cyc_duration_s;num_cycles_op;num_cycles_checkup;total_q_chg_CU_RT_Ah;total_q_dischg_CU_RT_Ah;total_q_chg_cyc_OT_Ah;total_q_dischg_cyc_OT_Ah;total_q_chg_other_RT_Ah;total_q_dischg_other_RT_Ah;total_q_chg_other_OT_Ah;total_q_dischg_other_OT_Ah;total_q_chg_sum_Ah;total_q_dischg_sum_Ah;total_e_chg_CU_RT_Wh;total_e_dischg_CU_RT_Wh;total_e_chg_cyc_OT_Wh;total_e_dischg_cyc_OT_Wh;total_e_chg_other_RT_Wh;total_e_dischg_other_RT_Wh;total_e_chg_other_OT_Wh;total_e_dischg_other_OT_Wh;total_e_chg_sum_Wh;total_e_dischg_sum_Wh;uptime_ticks
1665603148.000;1;69921792;0;0;1;0;10;0.00;0.00;0;4.2000;2.6000;1.0000;-1.0000;0.1500;-0.1500;nan;nan;-0.798881;0.000000;-0.798881;-2.566124;0.000000;-2.566124;nan;nan;3.5582;2.6001;27.0007;0.3268;24.82;26.42;3071.41;0;0;0.00;0.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.00;0.00;2.57;0.00;0.00;0.00;2.57;911550
1665603642.000;1;70050816;0;0;1;0;10;0.00;0.00;0;4.2000;2.5000;1.0000;-1.0000;0.1500;-0.1500;nan;nan;-0.018084;0.000000;-0.018084;-0.045541;0.000000;-0.045541;nan;nan;2.7100;2.5072;0.6717;0.0679;25.91;25.82;194.40;0;0;0.00;0.00;0.00;0.00;0.00;0.82;0.00;0.00;0.00;0.82;0.00;0.00;0.00;0.00;0.00;2.61;0.00;0.00;0.00;2.61;958698
1665615385.000;1;73063936;2;1;1;0;10;0.00;0.00;0;4.2000;2.5000;1.0000;-1.0000;0.1500;-0.1500;2.973577;98.238498;2.947444;2.947444;0.000000;11.168798;11.168798;0.000000;nan;nan;2.6141;4.1858;0.3651;99.4862;25.51;24.30;11143.29;0;0;2.95;-0.00;0.00;0.00;0.00;0.82;0.00;0.00;2.95;0.82;11.17;0.00;0.00;0.00;0.00;2.61;0.00;0.00;11.17;2.61;2078634
1665626446.000;1;75906048;2;0;1;0;10;0.00;0.00;0;4.2000;2.5000;1.0000;-1.0000;0.1500;-0.1500;2.967744;97.849625;-2.941202;0.000000;-2.941202;-10.697538;0.000000;-10.697538;99.788225;95.780563;4.1858;2.6189;99.4862;0.3806;24.30;25.65;10760.10;0;0;2.95;2.94;0.00;0.00;0.00;0.82;0.00;0.00;2.95;3.76;11.17;10.70;0.00;0.00;0.00;2.61;0.00;0.00;11.17;13.31;3133403
1665645948.000;1;80903680;0;1;1;0;10;0.00;0.00;0;3.4109;2.5000;1.0000;-1.0000;0.1500;-0.1500;nan;nan;0.298151;0.298151;0.000000;0.979606;0.979606;0.000000;nan;nan;2.6189;3.4108;0.3806;11.7878;25.65;24.74;19504.20;0;0;2.95;2.94;0.00;0.00;0.30;0.82;0.00;0.00;3.25;3.76;11.17;10.70;0.00;0.00;0.98;2.61;0.00;0.00;12.15;13.31;4993474
1665662748.000;1;85216256;0;1;1;0;10;0.00;0.00;0;3.6091;2.5000;1.0000;-1.0000;0.1500;-0.1500;nan;nan;0.611407;0.611407;0.000000;2.162673;2.162673;0.000000;nan;nan;3.3421;3.6090;10.4835;31.0448;25.06;25.07;2857.40;0;0;2.95;2.94;0.00;0.00;0.95;0.88;0.00;0.00;3.90;3.82;11.17;10.70;0.00;0.00;3.28;2.83;0.00;0.00;14.45;13.53;813224
1665672927.000;1;87841280;0;1;1;0;10;0.00;0.00;0;3.7453;2.5000;1.0000;-1.0000;0.1500;-0.1500;nan;nan;0.609442;0.609442;0.000000;2.254632;2.254632;0.000000;nan;nan;3.5958;3.7452;30.9734;51.4686;25.10;25.01;2855.29;0;0;2.95;2.94;0.00;0.00;1.60;0.92;0.00;0.00;4.55;3.86;11.17;10.70;0.00;0.00;5.68;2.97;0.00;0.00;16.85;13.66;1783899
1665683140.000;1;90475008;0;1;1;0;10;0.00;0.00;0;3.9393;2.5000;1.0000;-1.0000;0.1500;-0.1500;nan;nan;0.568416;0.568416;0.000000;2.206449;2.206449;0.000000;nan;nan;3.7311;3.9320;49.4765;68.5920;25.09;25.11;2688.40;0;0;2.95;2.94;0.00;0.00;2.21;0.96;0.00;0.00;5.16;3.90;11.17;10.70;0.00;0.00;8.04;3.11;0.00;0.00;19.21;13.81;2757979
1665693415.000;1;93124608;0;1;1;0;10;0.00;0.00;0;4.0923;2.5000;1.0000;-1.0000;0.1500;-0.1500;nan;nan;0.500700;0.500700;0.000000;2.027661;2.027661;0.000000;nan;nan;3.9298;4.0851;69.5535;86.3918;24.99;24.93;2889.20;0;0;2.95;2.94;0.00;0.00;2.75;1.00;0.00;0.00;5.70;3.94;11.17;10.70;0.00;0.00;10.24;3.26;0.00;0.00;21.41;13.96;3737960
1665725638.000;1;101401600;0;1;1;0;10;0.00;0.00;0;4.0923;2.5000;1.0000;-1.0000;0.1500;-0.1500;nan;nan;0.009560;0.009560;0.000000;0.039123;0.039123;0.000000;nan;nan;4.0777;4.0853;86.2861;86.6076;1.95;1.98;194.80;0;0;2.95;2.94;0.00;0.00;2.80;1.04;0.01;0.00;5.75;3.98;11.17;10.70;0.00;0.00;10.42;3.43;0.04;0.00;21.62;14.13;6811099
